"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.537886167E0,1.527654827E-1,-1.953199506E-1,2.065198421E-1
2.547851167E0,1.559105366E-1,-1.769382954E-1,2.178761512E-1
2.557816167E0,1.391746998E-1,-1.575211883E-1,2.074605227E-1
2.567781167E0,1.149785519E-1,-1.227802485E-1,2.059891224E-1
2.577745167E0,9.700088203E-2,-7.796110958E-2,1.786621660E-1
2.587710167E0,8.230555803E-2,-5.395963788E-2,1.488291621E-1
2.597675167E0,9.444504231E-2,-5.248930305E-2,1.425076276E-1
2.607640167E0,1.162304208E-1,-5.949276313E-2,1.343134791E-1
2.617605167E0,1.308413148E-1,-7.324638963E-2,1.416949630E-1
2.627570167E0,1.205372885E-1,-7.227620482E-2,1.287328154E-1
2.637535167E0,9.715420008E-2,-6.743350625E-2,1.040301397E-1
2.647500167E0,5.714821070E-2,-5.914183706E-2,5.210658535E-2
2.657465167E0,4.763593152E-2,-3.618245572E-2,6.102444604E-2
2.667429167E0,2.747846767E-2,-1.411230955E-2,2.923242562E-2
2.677394167E0,3.352916613E-2,-2.166530117E-2,9.409985505E-3
2.687359167E0,1.573810354E-2,-5.876092706E-3,2.304976061E-2
2.697324167E0,-1.641077735E-2,1.570536569E-2,5.043327808E-3
2.707289167E0,-5.821984261E-2,4.924549907E-2,-3.509934759E-3
2.717254167E0,-7.819967717E-2,9.637412429E-2,-2.230013348E-2
2.727219167E0,-5.495056883E-2,1.054084450E-1,-2.034041099E-2
2.737184167E0,-2.159501053E-2,8.116782457E-2,-1.566443220E-2
2.747149167E0,-7.476822357E-4,6.858596951E-2,1.123588067E-2
2.757114167E0,-8.626644500E-3,5.611598492E-2,8.306669071E-3
2.767078167E0,-4.942559451E-2,7.462112606E-2,1.339533366E-2
2.777043167E0,-9.036157280E-2,1.065204740E-1,4.177866969E-3
2.787008167E0,-9.028112888E-2,1.039335877E-1,1.794519275E-2
2.796973167E0,-3.977055103E-2,7.459194213E-2,1.357467938E-2
2.806938167E0,1.554172765E-2,1.792432740E-2,6.163444370E-2
2.816903167E0,4.303780198E-2,6.706560962E-3,6.341183931E-2
2.826868167E0,3.920727223E-2,-3.873640671E-4,6.377112865E-2
2.836833167E0,-8.831549203E-4,2.754307166E-2,4.859830439E-2
2.846797167E0,-4.300549254E-2,5.015371740E-2,2.466301620E-2
2.856762167E0,-8.423016220E-2,5.814399570E-2,6.691473536E-3
2.866727167E0,-1.093837172E-1,4.562322423E-2,1.449505053E-2
2.876692167E0,-9.867114574E-2,2.565217763E-2,3.619262204E-2
2.886657167E0,-3.836392984E-2,-1.309977565E-2,4.041424394E-2
2.896622167E0,1.736298203E-2,-4.642231017E-2,6.662347168E-2
2.906587167E0,4.880924150E-2,-3.932912648E-2,6.130899861E-2
2.916552167E0,4.072121903E-2,-4.318618029E-2,7.500962913E-2
2.926517167E0,-3.360178671E-4,-1.991420984E-2,8.972503245E-2
2.936482167E0,-4.658207670E-2,-7.921728306E-3,9.803250432E-2
2.946446167E0,-6.915587187E-2,-1.233522873E-2,9.416539222E-2
2.956411167E0,-6.679551303E-2,-1.389317773E-2,7.744260877E-2
2.966376167E0,-4.048433900E-2,-2.733810060E-2,6.118450314E-2
2.976341167E0,2.920126077E-3,-2.474577911E-2,5.211883411E-2
2.986306167E0,4.846565053E-2,-2.521147206E-2,4.890964180E-2
2.996271167E0,7.183701545E-2,-1.560598239E-2,3.485294431E-2
3.006236167E0,4.768120497E-2,4.308298230E-6,8.032065816E-3
3.016201167E0,-8.892591111E-3,2.572991140E-2,-1.906133629E-2
3.026166167E0,-6.215876341E-2,6.350506842E-2,-7.256513834E-2
3.036130167E0,-8.963432908E-2,7.686534524E-2,-9.113908559E-2
3.046095167E0,-7.690832764E-2,8.821640909E-2,-1.017918587E-1
3.056060167E0,-4.288724810E-2,7.399805635E-2,-9.362181276E-2
3.066025167E0,-2.068767138E-2,6.917694211E-2,-8.523978293E-2
3.075990167E0,-1.700931229E-2,6.051154435E-2,-7.437408715E-2
3.085955167E0,-3.900329396E-2,5.890725553E-2,-6.537393481E-2
3.095920167E0,-6.454434246E-2,5.261500925E-2,-6.600429863E-2
3.105885167E0,-7.645373046E-2,5.202104524E-2,-5.289673433E-2
3.115850167E0,-5.843584985E-2,4.326883331E-2,-4.897789285E-2
3.125815167E0,-2.993049845E-2,3.713862598E-2,-3.871546313E-2
3.135779167E0,-1.778035983E-2,3.327970952E-2,-4.430011287E-2
3.145744167E0,-1.829602942E-2,4.546299577E-2,-5.901554972E-2
3.155709167E0,-3.455782309E-2,5.387299135E-2,-8.972792327E-2
3.165674167E0,-5.016486719E-2,7.272355258E-2,-1.057029963E-1
3.175639167E0,-7.402066141E-2,8.730223030E-2,-1.267009526E-1
3.185604167E0,-8.829957247E-2,9.293900430E-2,-1.568199545E-1
3.195569167E0,-1.097593307E-1,1.043037772E-1,-1.849330813E-1
3.205534167E0,-1.281970888E-1,1.054039225E-1,-2.174473554E-1
3.215499167E0,-1.445654035E-1,1.028230488E-1,-2.387960553E-1
3.225463167E0,-1.470319033E-1,1.002695188E-1,-2.362558395E-1
3.235428167E0,-1.308806390E-1,1.168761924E-1,-2.225743830E-1
3.245393167E0,-1.000200212E-1,9.815524518E-2,-1.993324310E-1
3.255358167E0,-8.702166378E-2,6.485880911E-2,-1.769299209E-1
3.265323167E0,-9.565733373E-2,3.561298177E-2,-1.597618312E-1
3.275288167E0,-1.176936552E-1,1.160484925E-2,-1.260581911E-1
3.285253167E0,-1.020545140E-1,-9.840441868E-3,-9.366032481E-2
3.295218167E0,-4.022949561E-2,-4.410174116E-2,-5.761550367E-2
3.305183167E0,3.757829964E-2,-8.052450418E-2,-3.308127075E-2
3.315148167E0,6.557878107E-2,-9.270686656E-2,-1.844746806E-2
3.325112167E0,4.542577267E-2,-6.909939647E-2,-1.914629154E-2
3.335077167E0,1.289126743E-2,-3.866372257E-2,-3.336968366E-3
3.345042167E0,-1.107476465E-2,-1.875267923E-2,-1.248882525E-2
3.355007167E0,-1.522743236E-2,-2.452135272E-2,8.174641989E-3
3.364972167E0,-3.355428809E-3,-3.551840782E-2,4.816816375E-2
3.374937292E0,1.218571421E-2,-7.289933413E-2,6.738419831E-2
3.384902292E0,3.379159421E-2,-1.055585369E-1,5.023195222E-2
3.394867292E0,5.297008157E-2,-1.030330583E-1,3.182817996E-2
3.404832292E0,6.345236301E-2,-9.078139812E-2,2.372993156E-2
3.414796292E0,6.755629182E-2,-5.989405513E-2,2.592224441E-2
3.424761292E0,4.387605935E-2,-4.357957467E-2,2.061162610E-3
3.434726292E0,-8.347995579E-3,-2.487459779E-2,-7.982732495E-4
3.444691292E0,-6.190047413E-2,7.007137872E-3,-3.879167512E-2
3.454656292E0,-7.818304747E-2,2.156770602E-2,-8.938986808E-2
3.464621292E0,-5.708390474E-2,9.593490511E-3,-8.729194850E-2
3.474586292E0,-2.106405329E-3,-1.912164036E-3,-8.572388440E-2
3.484551292E0,4.417136684E-2,-1.710788906E-2,-7.995751500E-2
3.494516292E0,6.916273385E-2,1.296685077E-3,-1.236418784E-1
3.504481292E0,8.366015553E-2,4.640860856E-2,-3.230127990E-1
3.514445292E0,8.487083018E-2,7.062532939E-3,-4.783294201E-1
3.524410292E0,6.196545810E-2,-1.835801452E-2,-4.963492453E-1
3.534375292E0,1.129136328E-2,-1.755869482E-3,-3.982887268E-1
3.544340292E0,4.804640543E-3,6.575824320E-2,-2.896568477E-1
3.554305292E0,2.411761694E-2,2.378469147E-2,-1.623803824E-1
3.564270292E0,1.244647987E-2,-3.616810590E-2,-5.979592726E-2
3.574235292E0,-2.755393274E-2,-1.972854137E-3,-2.499453910E-2
3.584200292E0,-3.850550577E-2,2.955081128E-2,-6.722703576E-2
3.594165292E0,-3.250847571E-3,3.220997751E-2,-7.834039629E-2
3.604130292E0,4.720669240E-2,1.900325343E-2,-1.211523730E-2
3.614094292E0,7.502341270E-2,-3.364717588E-2,3.226341307E-2
3.624059292E0,5.830252916E-2,-5.324313790E-2,3.218504414E-2
3.634024292E0,-9.719666094E-3,-3.959390521E-2,2.358809300E-2
3.643989292E0,-5.233741179E-2,-6.652543321E-3,3.003552556E-3
3.653954292E0,-4.647739232E-2,1.288014557E-2,-1.509440131E-3
3.663919292E0,1.386283059E-2,2.029237896E-2,1.992210746E-3
3.673884292E0,1.047471985E-1,1.220249478E-2,2.737906016E-2
3.683849292E0,1.288574934E-1,2.001807094E-3,4.379906133E-2
