"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.195100379E2,5.222628890E1,4.562510598E0,-2.758285672E0,3.813417071E1,2.607269770E2,2.199496149E1,3.000000000E0
1.205100470E2,5.222622899E1,4.561948760E0,-2.428848098E0,3.818413725E1,2.605883792E2,2.319018129E1,3.000000000E0
1.215100547E2,5.222608818E1,4.561354445E0,-1.381022604E0,3.890109608E1,2.589723278E2,2.282185432E1,3.000000000E0
1.225100631E2,5.222588407E1,4.560821292E0,-1.014677616E0,3.909702440E1,2.566453915E2,2.010567491E1,3.000000000E0
1.235100703E2,5.222579697E1,4.560274154E0,-1.062826081E0,3.904264363E1,2.564544744E2,2.167525102E1,3.000000000E0
1.245100791E2,5.222560653E1,4.559855050E0,-6.515891431E-1,3.823498282E1,2.537751549E2,1.390673516E1,3.000000000E0
1.255100875E2,5.222552032E1,4.559343003E0,7.410674077E-2,3.806536360E1,2.534013109E2,1.402085218E1,3.000000000E0
1.265100965E2,5.222537266E1,4.558819030E0,6.888440177E-1,3.792467232E1,2.514013848E2,1.360677309E1,3.000000000E0
1.275101044E2,5.222525502E1,4.558268583E0,1.116191525E0,3.790419408E1,2.507743319E2,1.395097619E1,3.000000000E0
1.285101134E2,5.222512427E1,4.557750739E0,1.064564976E0,3.796212618E1,2.500002230E2,1.414753251E1,3.000000000E0
1.295101215E2,5.222501302E1,4.557233650E0,2.128831977E0,3.786484300E1,2.500362814E2,1.563672335E1,3.000000000E0
1.305101292E2,5.222487462E1,4.556728830E0,2.774993544E0,3.776690725E1,2.492506013E2,1.680537396E1,3.000000000E0
1.315101377E2,5.222474558E1,4.556258837E0,2.935384282E0,3.721815354E1,2.486942568E2,1.728447804E1,3.000000000E0
1.325101460E2,5.222454967E1,4.555797379E0,3.544538745E0,3.728839543E1,2.466542574E2,1.673392353E1,3.000000000E0
1.335101542E2,5.222431015E1,4.555335326E0,3.586106944E0,3.756580827E1,2.439204704E2,1.345297262E1,3.000000000E0
1.345101629E2,5.222414823E1,4.554853490E0,3.400057388E0,3.746514507E1,2.435326126E2,1.448096701E1,3.000000000E0
1.355101713E2,5.222394611E1,4.554390091E0,2.758871166E0,3.747885481E1,2.422569898E2,1.325381916E1,3.000000000E0
1.365101788E2,5.222373196E1,4.553891830E0,3.392993637E0,3.785715181E1,2.413795511E2,1.161892228E1,3.000000000E0
1.375101876E2,5.222357160E1,4.553433895E0,2.970333099E0,3.740354717E1,2.410163959E2,1.078338769E1,3.000000000E0
1.385101960E2,5.222342224E1,4.552969296E0,2.925955067E0,3.725377687E1,2.411573610E2,1.060797874E1,3.000000000E0
1.395102046E2,5.222326046E1,4.552515990E0,3.545091954E0,3.711380573E1,2.409669930E2,1.017221363E1,3.000000000E0
1.405102127E2,5.222309343E1,4.552048916E0,2.359076593E0,3.711927805E1,2.408983451E2,1.059525327E1,3.000000000E0
1.415102216E2,5.222292780E1,4.551577636E0,3.185132115E0,3.699863611E1,2.408828360E2,1.105434425E1,3.000000000E0
1.425102299E2,5.222277394E1,4.551100844E0,2.168433742E0,3.695571016E1,2.411365972E2,1.199442557E1,3.000000000E0
1.435102378E2,5.222261609E1,4.550636427E0,1.608969002E0,3.685850501E1,2.411983568E2,1.377338851E1,3.000000000E0
1.445102457E2,5.222245438E1,4.550167893E0,3.375100713E0,3.682651762E1,2.411049768E2,1.586912721E1,3.000000000E0
1.455102549E2,5.222229168E1,4.549694652E0,1.603988929E0,3.688573127E1,2.411394447E2,1.835534286E1,3.000000000E0
1.465102624E2,5.222213159E1,4.549235143E0,1.411653636E0,3.672808622E1,2.411020116E2,2.044796893E1,3.000000000E0
1.475102767E2,5.222199281E1,4.548763334E0,2.048360352E0,3.655103594E1,2.416405774E2,2.071478573E1,3.000000000E0
1.485102801E2,5.222183602E1,4.548294128E0,2.868012563E0,3.652410989E1,2.416544324E2,2.341463071E1,3.000000000E0
1.495102880E2,5.222167844E1,4.547822250E0,2.931658956E0,3.651518011E1,2.416675106E2,2.653248377E1,3.000000000E0
1.505102969E2,5.222152161E1,4.547350724E0,2.419893805E0,3.650435088E1,2.416778328E2,2.992755281E1,3.000000000E0
1.515103055E2,5.222136494E1,4.546878246E0,2.027056398E0,3.650617661E1,2.416760586E2,3.355981199E1,3.000000000E0
1.525103132E2,5.222120886E1,4.546403870E0,2.790913977E0,3.653132989E1,2.416820452E2,3.742744184E1,3.000000000E0
1.535097867E2,5.222105346E1,4.545932361E0,3.055628565E0,3.653428749E1,2.416816161E2,4.152405450E1,3.000000000E0
1.545097843E2,5.222089765E1,4.545461644E0,2.704819902E0,3.653230604E1,2.416707160E2,4.581796096E1,3.000000000E0
1.555097873E2,5.222074235E1,4.544989435E0,3.221779770E0,3.653712966E1,2.416818206E2,5.035408404E1,3.000000000E0
1.565097767E2,5.222057143E1,4.544442433E0,1.766421663E0,3.726963490E1,2.419094473E2,4.715736473E1,3.000000000E0
1.575097675E2,5.222053948E1,4.543801839E0,2.755019227E0,3.761216287E1,2.443245118E2,3.992616335E1,3.000000000E0
1.585097646E2,5.222050952E1,4.543158196E0,2.282646748E0,3.812933458E1,2.466956846E2,3.383717766E1,3.000000000E0
1.595097481E2,5.222049724E1,4.542438552E0,2.012461658E0,3.890701403E1,2.489138763E2,2.586747736E1,3.000000000E0
1.605097274E2,5.222037345E1,4.541881781E0,2.580484026E0,3.869794036E1,2.493233905E2,2.078407610E1,3.000000000E0
1.615097191E2,5.222026433E1,4.541347094E0,2.592249269E0,3.869420272E1,2.495416866E2,2.077219212E1,3.000000000E0
1.625097088E2,5.222014596E1,4.540784445E0,1.756883203E0,3.898298614E1,2.497716282E2,2.171581802E1,3.000000000E0
1.635096928E2,5.222005042E1,4.540246563E0,1.567282114E0,3.896208173E1,2.501412357E2,2.201107280E1,3.000000000E0
1.645096842E2,5.221994872E1,4.539742598E0,1.223655018E0,3.869224551E1,2.508593550E2,1.985237506E1,3.000000000E0
1.655096633E2,5.221984336E1,4.539159189E0,7.467351425E-1,3.931915750E1,2.517582574E2,1.792003346E1,3.000000000E0
1.665096462E2,5.221972079E1,4.538613089E0,2.387722544E-1,3.946113967E1,2.518718586E2,1.705004995E1,3.000000000E0
1.675096364E2,5.221960372E1,4.538059165E0,2.365344549E-1,3.962140934E1,2.517107507E2,1.709174440E1,3.000000000E0
1.685096228E2,5.221950841E1,4.537498741E0,-2.621878181E-1,3.964097182E1,2.518859226E2,1.582854283E1,3.000000000E0
1.695096124E2,5.221940970E1,4.536974527E0,-4.701721966E-1,3.894631102E1,2.520123389E2,1.545862480E1,3.000000000E0
1.705096023E2,5.221928711E1,4.536430365E0,-5.231962632E-2,3.888181819E1,2.518818681E2,1.528662033E1,3.000000000E0
1.715095977E2,5.221917298E1,4.535886647E0,-3.054776974E-2,3.880687707E1,2.518190252E2,1.502925505E1,3.000000000E0
1.725095843E2,5.221905935E1,4.535343692E0,1.733664302E-1,3.889565381E1,2.517223793E2,1.502505346E1,3.000000000E0
1.735095779E2,5.221895100E1,4.534812959E0,3.781637661E-1,3.865554526E1,2.516866639E2,1.561267639E1,3.000000000E0
1.745095723E2,5.221883894E1,4.534281177E0,8.561010435E-1,3.845400833E1,2.517860959E2,1.585730580E1,3.000000000E0
1.755095659E2,5.221875884E1,4.533740750E0,-4.541752264E-1,3.821892077E1,2.524267625E2,1.516440559E1,3.000000000E0
1.765095612E2,5.221865748E1,4.533206273E0,1.602790978E0,3.798504425E1,2.526163731E2,1.389305214E1,3.000000000E0
1.775095572E2,5.221855859E1,4.532668798E0,1.004583826E0,3.768975585E1,2.531109969E2,1.180758246E1,3.000000000E0
1.785095539E2,5.221842665E1,4.532208699E0,1.221762898E0,3.697784759E1,2.528971537E2,8.438272955E0,3.000000000E0
1.795095514E2,5.221831129E1,4.531713850E0,1.604173378E0,3.628779325E1,2.528685440E2,6.983190007E0,3.000000000E0
1.805095491E2,5.221820527E1,4.531225941E0,2.589687876E0,3.531579277E1,2.525479211E2,6.320901787E0,3.000000000E0
1.815095474E2,5.221810663E1,4.530748901E0,1.220218048E0,3.475057086E1,2.522945338E2,5.968744819E0,3.000000000E0
1.825095464E2,5.221801361E1,4.530282269E0,2.428725739E0,3.389901459E1,2.520797851E2,6.337624920E0,3.000000000E0
1.835095500E2,5.221791632E1,4.529825943E0,2.129640023E0,3.324118028E1,2.516131203E2,7.424078822E0,3.000000000E0
1.845095460E2,5.221782643E1,4.529381810E0,2.825036740E0,3.243292982E1,2.513957984E2,9.151567093E0,3.000000000E0
1.855095465E2,5.221772724E1,4.528967630E0,2.133408959E0,3.128689671E1,2.504292848E2,1.050451122E1,3.000000000E0
1.865095470E2,5.221758121E1,4.528586995E0,6.134990137E-1,3.019437904E1,2.528877258E2,1.399978194E1,3.000000000E0
1.875095472E2,5.221748201E1,4.528122415E0,2.449062009E0,3.083395129E1,2.509801483E2,1.845086966E1,3.000000000E0
1.885095489E2,5.221739578E1,4.527682499E0,2.799089991E0,3.057554231E1,2.529472351E2,1.667866512E1,3.000000000E0
1.895095510E2,5.221731387E1,4.527247684E0,1.773832319E0,3.012260376E1,2.529472351E2,1.476449070E1,3.000000000E0
1.905095532E2,5.221722606E1,4.526797257E0,2.460236173E0,3.018524164E1,2.522632446E2,1.387788131E1,3.000000000E0
1.915095553E2,5.221714540E1,4.526386640E0,2.371031075E0,2.968291874E1,2.522632446E2,1.679220576E1,3.000000000E0
