"Time (s)","X (hPa)"
4.432250608E2,1.021050949E3
4.442944238E2,1.021042480E3
4.453637848E2,1.021036987E3
4.464331288E2,1.021026688E3
4.475024718E2,1.021014481E3
4.485718168E2,1.021006088E3
4.496411558E2,1.020997238E3
4.507104778E2,1.020980835E3
4.517798238E2,1.020963516E3
4.528491988E2,1.020944138E3
4.539185768E2,1.020921021E3
4.549879288E2,1.020895386E3
4.560572188E2,1.020874100E3
4.571265158E2,1.020869446E3
4.581958298E2,1.020869446E3
4.592651068E2,1.020887527E3
4.603343648E2,1.020908661E3
4.614036428E2,1.020932388E3
4.624728798E2,1.020943909E3
4.635421668E2,1.020943909E3
4.646114418E2,1.020929642E3
4.656806928E2,1.020914230E3
4.667500058E2,1.020896988E3
4.678193138E2,1.020883179E3
4.688885878E2,1.020866699E3
4.699578968E2,1.020846481E3
4.710271918E2,1.020826035E3
4.720964768E2,1.020806503E3
4.731658338E2,1.020787582E3
4.742352298E2,1.020774918E3
4.753046168E2,1.020763779E3
4.763739468E2,1.020754700E3
4.774432758E2,1.020743179E3
4.785125898E2,1.020722733E3
4.795818918E2,1.020688629E3
4.806512198E2,1.020658722E3
4.817205298E2,1.020627975E3
4.827898998E2,1.020602264E3
4.838592598E2,1.020584183E3
4.849285598E2,1.020577240E3
4.859978868E2,1.020571136E3
4.870672038E2,1.020571136E3
4.881365128E2,1.020571136E3
4.892058108E2,1.020571365E3
4.902751098E2,1.020576019E3
4.913443948E2,1.020585632E3
4.924136908E2,1.020588226E3
4.934829888E2,1.020592651E3
4.945522598E2,1.020592651E3
4.956215158E2,1.020589447E3
4.966907878E2,1.020582733E3
4.977601288E2,1.020577698E3
4.988294808E2,1.020576401E3
4.998988278E2,1.020576401E3
5.009681858E2,1.020599136E3
5.020376208E2,1.020619125E3
5.031070188E2,1.020640411E3
5.041763968E2,1.020661850E3
5.052458208E2,1.020671921E3
5.063152518E2,1.020671921E3
5.073846728E2,1.020667953E3
5.084541268E2,1.020663605E3
5.095235468E2,1.020657196E3
5.105929558E2,1.020652847E3
5.116623428E2,1.020646210E3
5.127317148E2,1.020643768E3
5.138011198E2,1.020640030E3
5.148705098E2,1.020639114E3
5.159398768E2,1.020638046E3
5.170092718E2,1.020638046E3
5.180786688E2,1.020638046E3
5.191480548E2,1.020638046E3
5.202173828E2,1.020640869E3
5.212867478E2,1.020645447E3
5.223561018E2,1.020648346E3
5.234254388E2,1.020653000E3
5.244947548E2,1.020660400E3
5.255640808E2,1.020664978E3
5.266333788E2,1.020671768E3
5.277026798E2,1.020681839E3
5.287720008E2,1.020689697E3
5.298413468E2,1.020701294E3
5.309107108E2,1.020713043E3
5.319800938E2,1.020724335E3
5.330494748E2,1.020733643E3
5.341188308E2,1.020743713E3
5.351881568E2,1.020752869E3
5.362574348E2,1.020763092E3
5.373267668E2,1.020772018E3
5.383961148E2,1.020778885E3
5.394654048E2,1.020784988E3
5.405346908E2,1.020789261E3
5.416040218E2,1.020794144E3
5.426733558E2,1.020797653E3
5.437426748E2,1.020803909E3
5.448120118E2,1.020809708E3
5.458813588E2,1.020813446E3
5.469506718E2,1.020813599E3
5.480200018E2,1.020813599E3
5.490893528E2,1.020808792E3
5.501587188E2,1.020805283E3
5.512281108E2,1.020805283E3
5.522974928E2,1.020805283E3
5.533668198E2,1.020804977E3
5.544361718E2,1.020804596E3
5.555055498E2,1.020804596E3
5.565749248E2,1.020802307E3
5.576442608E2,1.020799713E3
5.587135978E2,1.020791702E3
5.597829668E2,1.020779572E3
5.608523688E2,1.020768127E3
5.619217668E2,1.020757446E3
5.629911648E2,1.020746994E3
5.640605048E2,1.020742874E3
5.651298738E2,1.020742340E3
5.661992098E2,1.020740204E3
5.672685278E2,1.020735321E3
5.683378428E2,1.020730515E3
5.694071958E2,1.020721817E3
5.704764898E2,1.020711136E3
5.715458148E2,1.020698776E3
5.726152418E2,1.020689697E3
5.736847058E2,1.020680389E3
5.747541218E2,1.020671616E3
5.758234998E2,1.020658112E3
5.768928818E2,1.020642776E3
5.779623028E2,1.020625458E3
5.790316978E2,1.020605698E3
5.801010768E2,1.020591507E3
5.811703918E2,1.020583191E3
5.822397258E2,1.020583191E3
5.833090598E2,1.020618134E3
