"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.554305292E0,4.211244202E1,-1.136795807E1,-3.906383133E1
3.564270292E0,4.201274109E1,-1.115300751E1,-3.904489899E1
3.574235292E0,4.200370789E1,-1.130029297E1,-3.913497162E1
3.584200292E0,4.169406128E1,-1.111651230E1,-3.915563965E1
3.594165292E0,4.180122375E1,-1.119116211E1,-3.925109100E1
3.604130292E0,4.176466370E1,-1.127416992E1,-3.915842056E1
3.614094292E0,4.154348755E1,-1.136983109E1,-3.911284256E1
3.624059292E0,4.152256775E1,-1.143254471E1,-3.919751740E1
3.634024292E0,4.169494629E1,-1.157045746E1,-3.904000473E1
3.643989292E0,4.163995361E1,-1.160111618E1,-3.906193542E1
3.653954292E0,4.152554321E1,-1.155804825E1,-3.895854950E1
3.663919292E0,4.132473755E1,-1.147377777E1,-3.897094345E1
3.673884292E0,4.851884460E1,-1.145515060E1,-3.902012253E1
3.683849292E0,4.855284119E1,-1.162757492E1,-3.923023987E1
3.693814292E0,4.856338501E1,-1.162904358E1,-3.912630081E1
3.703779292E0,4.830296326E1,-1.159202957E1,-3.914487839E1
3.713743292E0,4.845593262E1,-1.164728546E1,-3.918196487E1
3.723708292E0,4.832119751E1,-1.164602661E1,-3.942545700E1
3.733673292E0,4.827990723E1,-1.165900803E1,-3.915746307E1
3.743638292E0,4.813092041E1,-1.176906967E1,-3.910108948E1
3.753603292E0,4.813092041E1,-1.176906967E1,-3.910108948E1
3.763568292E0,4.819200134E1,-1.188203430E1,-3.901288986E1
3.773533292E0,4.811308289E1,-1.192750168E1,-3.904684448E1
3.783498292E0,4.807308960E1,-1.205958939E1,-3.916514587E1
3.793463292E0,4.794711304E1,-1.191268158E1,-3.893925476E1
3.803428292E0,4.797233582E1,-1.191610718E1,-3.887131500E1
3.813392292E0,4.782586670E1,-1.200672531E1,-3.909134674E1
3.823357292E0,4.775164795E1,-1.196707153E1,-3.930988312E1
3.833322292E0,4.748341370E1,-1.195864868E1,-3.966918182E1
3.843287292E0,4.726786804E1,-1.201886368E1,-3.959373856E1
3.853252292E0,4.725822449E1,-1.215909958E1,-3.990348053E1
3.863217292E0,4.731848145E1,-1.221517944E1,-4.024081421E1
3.873182292E0,4.729472351E1,-1.249446869E1,-4.026978683E1
3.883147292E0,4.723686218E1,-1.278673172E1,-4.043129349E1
3.893112292E0,4.719718933E1,-1.299456024E1,-4.030103302E1
3.903077292E0,4.694081116E1,-1.330399323E1,-4.011904907E1
3.913041292E0,4.672055054E1,-1.351938629E1,-3.982960510E1
3.923006292E0,4.629753113E1,-1.376777649E1,-3.976052094E1
3.932971292E0,4.620465088E1,-1.395846939E1,-3.964502716E1
3.942936292E0,4.589315796E1,-1.417692184E1,-3.972464752E1
3.952901292E0,4.595860291E1,-1.436943054E1,-3.955062103E1
3.962866292E0,4.582218933E1,-1.446960831E1,-3.929262924E1
3.972831292E0,4.597183228E1,-1.451880646E1,-3.875030518E1
3.982796292E0,4.587652588E1,-1.431563568E1,-3.853248978E1
3.992761292E0,4.587652588E1,-1.431563568E1,-3.853248978E1
