"Time (s)","X (hPa)"
2.859148981E2,1.021734238E3
2.869834051E2,1.021731033E3
2.880519181E2,1.021730728E3
2.891204411E2,1.021730728E3
2.901889711E2,1.021732407E3
2.912574801E2,1.021732407E3
2.923260091E2,1.021732407E3
2.933945371E2,1.021729050E3
2.944630601E2,1.021728363E3
2.955315861E2,1.021728363E3
2.966001351E2,1.021726227E3
2.976687231E2,1.021726227E3
2.987372671E2,1.021728592E3
2.998058011E2,1.021728592E3
3.008743521E2,1.021727905E3
3.019429321E2,1.021727905E3
3.030115111E2,1.021728287E3
3.040801251E2,1.021732330E3
3.051487271E2,1.021734467E3
3.062173181E2,1.021736374E3
3.072859321E2,1.021738510E3
3.083545871E2,1.021738510E3
3.094232121E2,1.021738663E3
3.104918171E2,1.021738281E3
3.115604451E2,1.021738281E3
3.126290501E2,1.021731720E3
3.136976491E2,1.021728592E3
3.147662881E2,1.021724396E3
3.158349381E2,1.021723480E3
3.169035821E2,1.021723480E3
3.179722171E2,1.021725388E3
3.190408171E2,1.021725388E3
3.201094491E2,1.021725388E3
3.211781031E2,1.021726685E3
3.222467611E2,1.021730652E3
3.233154151E2,1.021730728E3
3.243840031E2,1.021732712E3
3.254526851E2,1.021734085E3
3.265213401E2,1.021734085E3
3.275899801E2,1.021734085E3
3.286586171E2,1.021732559E3
3.297272561E2,1.021731339E3
3.307959231E2,1.021728363E3
3.318645171E2,1.021727753E3
3.329331661E2,1.021727753E3
3.340018181E2,1.021727982E3
3.350704861E2,1.021727982E3
3.361391261E2,1.021726837E3
3.372077891E2,1.021724777E3
3.382764411E2,1.021724777E3
3.393450461E2,1.021723480E3
3.404137011E2,1.021723480E3
3.414823271E2,1.021719513E3
3.425509551E2,1.021716995E3
3.436196031E2,1.021714859E3
3.446882421E2,1.021713409E3
3.457568661E2,1.021712723E3
3.468254971E2,1.021711960E3
3.478941641E2,1.021711884E3
3.489628481E2,1.021710663E3
3.500314881E2,1.021710663E3
3.511001411E2,1.021711731E3
3.521688271E2,1.021714096E3
3.532374851E2,1.021714096E3
3.543061631E2,1.021711349E3
3.553748431E2,1.021707993E3
3.564435171E2,1.021705627E3
3.575122071E2,1.021705627E3
3.585809191E2,1.021705780E3
3.596496051E2,1.021705780E3
3.607182731E2,1.021706848E3
3.617869731E2,1.021706924E3
3.628556481E2,1.021706924E3
3.639243391E2,1.021707153E3
3.649930171E2,1.021706619E3
3.660616941E2,1.021705017E3
3.671303991E2,1.021702728E3
3.681990871E2,1.021702728E3
3.692677741E2,1.021699524E3
3.703364561E2,1.021698456E3
3.714051501E2,1.021696548E3
3.724738271E2,1.021691971E3
3.735425171E2,1.021683273E3
3.746111701E2,1.021682892E3
3.756798411E2,1.021682816E3
3.767485311E2,1.021682816E3
3.778172021E2,1.021683578E3
3.788859231E2,1.021683960E3
3.799546261E2,1.021683960E3
3.810233021E2,1.021680832E3
3.820919781E2,1.021679153E3
3.831605911E2,1.021679153E3
3.842291931E2,1.021682281E3
3.852978071E2,1.021685257E3
3.863664291E2,1.021689682E3
3.874350941E2,1.021691895E3
3.885037391E2,1.021691895E3
3.895723821E2,1.021689377E3
3.906410181E2,1.021685257E3
3.917096361E2,1.021685028E3
3.927782701E2,1.021685257E3
3.938469591E2,1.021686707E3
3.949156121E2,1.021686707E3
3.959842741E2,1.021686401E3
3.970529661E2,1.021686401E3
3.981216611E2,1.021686401E3
3.991903621E2,1.021686478E3
4.002591081E2,1.021686478E3
4.013278191E2,1.021687546E3
4.023965511E2,1.021687546E3
4.034652501E2,1.021684341E3
4.045339501E2,1.021684341E3
4.056026311E2,1.021686249E3
4.066712571E2,1.021686935E3
4.077399001E2,1.021686935E3
4.088085081E2,1.021686249E3
4.098771081E2,1.021685181E3
4.109457751E2,1.021683044E3
4.120144781E2,1.021680527E3
4.130831621E2,1.021677551E3
4.141518611E2,1.021674271E3
