"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.537434875E0,2.507161163E-2,-6.633707136E-2,-1.071934626E-1
2.547398875E0,1.497210562E-2,-8.333629370E-2,-1.176469028E-1
2.557362875E0,1.160432771E-2,-8.827992529E-2,-1.151524782E-1
2.567326875E0,1.649442501E-2,-8.752119541E-2,-1.029802337E-1
2.577290875E0,3.144054860E-2,-8.677440137E-2,-7.897963375E-2
2.587254875E0,2.336930297E-2,-8.314184844E-2,-6.138918549E-2
2.597217875E0,-1.651174389E-2,-7.181969285E-2,-4.879098386E-2
2.607181875E0,-6.702311337E-2,-7.491534948E-2,-4.971297085E-2
2.617145875E0,-1.115498170E-1,-8.011271060E-2,-6.166860089E-2
2.627109875E0,-1.142055169E-1,-7.944639027E-2,-6.804739684E-2
2.637073875E0,-8.231054991E-2,-8.560480177E-2,-6.104307249E-2
2.647037875E0,-4.392374307E-2,-7.009747624E-2,-6.318052858E-2
2.657000875E0,-2.355836565E-3,-4.554010183E-2,-6.093252823E-2
2.666964875E0,3.358112276E-2,-1.625411771E-2,-5.755058303E-2
2.676928875E0,5.196508020E-2,-1.080927439E-2,-4.930514097E-2
2.686892875E0,4.694981501E-2,-1.124523394E-2,-3.891241923E-2
2.696856875E0,3.276012838E-2,3.735907376E-5,-2.836213633E-2
2.706820875E0,2.234903350E-2,-2.106233314E-2,-2.105841786E-2
2.716784875E0,9.936418384E-3,-2.821612917E-2,-1.062977314E-2
2.726747875E0,6.548344158E-3,-3.623250872E-2,-2.901013242E-3
2.736711875E0,3.993265331E-3,-4.400457442E-2,2.828196739E-4
2.746675875E0,-4.110733513E-3,-5.319887027E-2,1.752838492E-2
2.756639875E0,-1.125408802E-2,-6.201750040E-2,3.669752926E-2
2.766603875E0,-2.523035742E-2,-6.951829791E-2,4.609076679E-2
2.776567875E0,-3.481413424E-2,-6.663896888E-2,5.486363545E-2
2.786530875E0,-3.837318346E-2,-5.985430256E-2,5.968075991E-2
2.796494875E0,-3.566971049E-2,-3.582936525E-2,7.258246094E-2
2.806458875E0,-3.147975728E-2,-1.367452927E-2,7.930294424E-2
2.816422875E0,-2.861201204E-2,-6.155239418E-3,8.584892750E-2
2.826386875E0,-1.636493206E-2,-2.578880172E-3,8.758983761E-2
2.836350875E0,-1.313026762E-3,-4.630805925E-3,8.519676328E-2
2.846314875E0,1.091221441E-2,8.350239135E-3,8.128564805E-2
2.856277875E0,2.243253030E-2,1.169459708E-2,7.500027120E-2
2.866241875E0,1.467207912E-2,1.040642709E-2,6.811147183E-2
2.876205875E0,-6.641479209E-3,2.009025216E-2,5.874172226E-2
2.886169875E0,-3.169916198E-2,1.330105681E-2,6.184297428E-2
2.896133875E0,-5.421478674E-2,-9.059156291E-3,7.697752118E-2
2.906097875E0,-5.718261376E-2,-3.750437871E-2,9.019000083E-2
2.916060875E0,-4.729958251E-2,-3.637024760E-2,9.361187369E-2
2.926024875E0,-3.085695952E-2,-1.630412415E-2,9.110637009E-2
2.935988875E0,-1.582634449E-2,2.373688854E-3,8.602159470E-2
2.945952875E0,-4.660508595E-3,1.010644250E-2,9.512534738E-2
2.955916875E0,-1.320366282E-2,-3.688465338E-3,1.160703078E-1
2.965880875E0,-3.889757395E-2,-3.629061580E-2,1.159885526E-1
2.975844875E0,-7.368615270E-2,-7.236626744E-2,1.146458834E-1
2.985807875E0,-8.735109866E-2,-9.529422224E-2,1.126714200E-1
2.995771875E0,-7.478783280E-2,-9.652397037E-2,1.196875125E-1
3.005735875E0,-4.418038949E-2,-8.545933664E-2,1.261251569E-1
3.015699875E0,-1.572791860E-2,-6.337614357E-2,1.290795356E-1
3.025663875E0,-1.036617626E-2,-5.488571897E-2,1.270057410E-1
3.035627875E0,-2.760268748E-2,-7.755188644E-2,1.195211858E-1
