"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.446380997E2,5.216933377E1,4.487279163E0,5.921145063E-1,1.176294119E0,2.108840637E2,6.561789105E0,3.000000000E0
1.456380193E2,5.216931916E1,4.487264953E0,3.458779883E-1,1.367465040E0,2.108840637E2,6.509911999E0,3.115873957E0
1.466379428E2,5.216930727E1,4.487253387E0,5.767924348E-1,1.581616738E0,2.108840637E2,6.374166955E0,3.143881596E0
1.476378688E2,5.216929944E1,4.487242521E0,4.432682479E-1,1.178713217E0,2.140733337E2,6.466194775E0,3.285338855E0
1.486377995E2,5.216929006E1,4.487218880E0,-2.191569256E-1,1.318817493E0,2.140733337E2,6.354594633E0,3.128830005E0
1.496377363E2,5.216927767E1,4.487205374E0,-8.835991276E-1,1.291182906E0,2.158454895E2,6.268329686E0,3.040050176E0
1.506376758E2,5.216928202E1,4.487189499E0,-1.272418777E0,8.520620460E-1,2.401299404E2,6.137669046E0,3.095046001E0
1.516376203E2,5.216926885E1,4.487177016E0,8.536337689E-2,1.010540531E0,2.310609108E2,6.037578018E0,3.073998727E0
1.526375685E2,5.216925811E1,4.487168556E0,-4.620462107E-1,1.202883735E0,2.248252228E2,5.902407476E0,3.000000000E0
1.536375198E2,5.216924321E1,4.487163022E0,-4.492213065E-1,1.416241983E0,2.181842180E2,5.812738331E0,3.000000000E0
1.546374756E2,5.216923095E1,4.487150942E0,-5.265448894E-2,1.427199398E0,2.151984771E2,5.754673629E0,3.000000000E0
1.556374341E2,5.216921370E1,4.487139657E0,-7.569856392E-1,1.587170502E0,2.099855292E2,5.676165747E0,3.000000000E0
1.566373955E2,5.216921104E1,4.487128850E0,-7.454241849E-1,1.193619849E0,2.176138423E2,5.585209593E0,3.000000000E0
1.576373591E2,5.216919686E1,4.487114589E0,-3.052776568E-1,1.460818246E0,2.186328278E2,5.524272520E0,3.000000000E0
1.586373265E2,5.216918998E1,4.487101266E0,-4.623004040E-1,1.208614121E0,2.152002470E2,5.519934540E0,3.000000000E0
1.596372951E2,5.216917767E1,4.487089320E0,-4.025950963E-1,1.367267461E0,2.154335242E2,5.498087738E0,3.000000000E0
1.606372671E2,5.216916322E1,4.487089490E0,-3.572581150E-1,1.279222077E0,2.098432024E2,5.409242180E0,3.000000000E0
1.616372412E2,5.216914990E1,4.487082819E0,5.967413653E-1,1.379973300E0,2.123808315E2,5.305109315E0,3.000000000E0
1.626372172E2,5.216914639E1,4.487071266E0,4.552203892E-1,1.138702599E0,2.181556437E2,5.321760793E0,3.000000000E0
1.636371942E2,5.216913965E1,4.487064178E0,-9.338306598E-1,1.022764020E0,2.240533738E2,5.296167530E0,3.000000000E0
1.646371742E2,5.216912595E1,4.487052917E0,-3.323622281E-1,1.355244541E0,2.223646226E2,5.165733949E0,3.000000000E0
1.656371561E2,5.216911830E1,4.487049105E0,-1.434145933E-1,1.236514798E0,2.174183132E2,5.115881338E0,3.000000000E0
1.666371378E2,5.216910697E1,4.487039701E0,1.936457697E-1,1.228410037E0,2.181666316E2,5.173388600E0,3.000000000E0
1.676371230E2,5.216909817E1,4.487020170E0,3.366159284E-1,1.299592820E0,2.233610831E2,5.110368458E0,3.000000000E0
1.686371081E2,5.216909171E1,4.486996177E0,2.309979554E-1,1.403542282E0,2.263334820E2,5.110668249E0,3.000000000E0
1.696370950E2,5.216908296E1,4.486981968E0,-3.925910704E-1,1.178094851E0,2.222396753E2,5.071679015E0,3.017494523E0
1.706370838E2,5.216907355E1,4.486964329E0,5.642730370E-2,1.237165187E0,2.227203923E2,5.139234510E0,3.004368898E0
1.716370727E2,5.216906819E1,4.486942516E0,1.370923081E-1,1.196082858E0,2.267952028E2,5.128126627E0,3.062256565E0
1.726370625E2,5.216905885E1,4.486922943E0,3.276511589E-1,1.282994256E0,2.252755934E2,5.077020844E0,3.000000000E0
1.736370546E2,5.216904720E1,4.486908919E0,2.449708562E-1,1.276265959E0,2.234107861E2,5.155708489E0,3.000000000E0
1.746370467E2,5.216904297E1,4.486900352E0,5.982101485E-1,1.068568144E0,2.287388186E2,5.341210955E0,3.000000000E0
1.756370395E2,5.216903257E1,4.486885106E0,1.186878759E0,1.227458537E0,2.304780155E2,5.323568284E0,3.000000000E0
1.766370337E2,5.216902976E1,4.486869584E0,-1.281269706E0,1.337551437E0,2.421209106E2,5.370576231E0,3.000000000E0
1.776370282E2,5.216901650E1,4.486864321E0,-9.463879708E-1,1.263506483E0,2.281976428E2,5.314725364E0,3.000000000E0
1.786370245E2,5.216900112E1,4.486858405E0,-5.194326565E-1,1.218364856E0,2.192836015E2,5.413072108E0,3.000000000E0
1.796370205E2,5.216899628E1,4.486845306E0,-3.192945560E-1,1.173234137E0,2.244382125E2,5.462034213E0,3.000000000E0
1.806370174E2,5.216898551E1,4.486834657E0,-4.988477193E-2,1.292323683E0,2.240353069E2,5.728642064E0,3.093621116E0
1.816370146E2,5.216897895E1,4.486828924E0,1.599795809E-1,1.287337042E0,2.168997072E2,5.812834875E0,3.214172809E0
1.826370122E2,5.216897283E1,4.486808285E0,-6.129360646E-1,1.472923355E0,2.202633971E2,5.811623661E0,3.287842242E0
1.836370105E2,5.216896603E1,4.486801508E0,-1.786281001E-1,1.232625091E0,2.171451849E2,5.754314498E0,3.415661991E0
1.846370102E2,5.216896039E1,4.486780898E0,-5.756832222E-1,1.340112325E0,2.224709910E2,5.716255864E0,3.259142478E0
1.856370102E2,5.216895239E1,4.486761372E0,-4.614473199E-1,1.367159597E0,2.252285559E2,5.796163221E0,3.138073652E0
1.866370093E2,5.216894896E1,4.486752612E0,-1.225718204E-2,1.037075678E0,2.281209485E2,5.731021968E0,3.000000000E0
1.876370101E2,5.216894019E1,4.486736529E0,5.685375314E-1,1.163603710E0,2.303445986E2,5.572253798E0,3.000000000E0
1.886370103E2,5.216893174E1,4.486719105E0,-1.993413428E0,1.325624897E0,2.305363434E2,5.417626786E0,3.000000000E0
1.896370122E2,5.216892271E1,4.486706714E0,-1.501409452E0,1.120546694E0,2.297292780E2,5.417117823E0,3.000000000E0
1.906370127E2,5.216891299E1,4.486692469E0,-1.230781852E0,1.177169689E0,2.275398359E2,5.449199606E0,3.000000000E0
1.916370143E2,5.216890066E1,4.486690699E0,-9.433984673E-1,1.006192922E0,2.221324986E2,5.408904261E0,3.000000000E0
1.926370162E2,5.216889507E1,4.486665740E0,-7.084761616E-1,1.207825107E0,2.258664777E2,5.385472251E0,3.000000000E0
1.936370188E2,5.216888343E1,4.486657517E0,-1.008980292E0,1.296002325E0,2.191323871E2,5.360437605E0,3.000000000E0
1.946370237E2,5.216887603E1,4.486637373E0,-7.211370626E-1,1.316314964E0,2.239997163E2,5.298712660E0,3.000000000E0
1.956370249E2,5.216886686E1,4.486617347E0,-8.250895701E-1,1.414826840E0,2.298252764E2,5.355153305E0,3.000000000E0
1.966370273E2,5.216885437E1,4.486618549E0,-3.368492769E-1,1.157896698E0,2.183155974E2,5.335997024E0,3.000000000E0
1.976370304E2,5.216884967E1,4.486604913E0,-6.611050796E-1,1.245344788E0,2.282044109E2,5.463765013E0,3.000000000E0
1.986370335E2,5.216883765E1,4.486604040E0,-6.713095931E-1,1.037750854E0,2.225247952E2,5.499768082E0,3.000000000E0
