"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.535223905E2,-1.679025269E1,4.017277527E1,-3.123302460E1
2.535323542E2,-1.659988403E1,4.075407791E1,-3.082775688E1
2.535423182E2,-1.602044678E1,4.104731750E1,-3.057623482E1
2.535522832E2,-1.547763062E1,4.155255127E1,-3.044777679E1
2.535622472E2,-1.504699707E1,4.173220062E1,-3.028674126E1
2.535722112E2,-1.457441711E1,4.230744171E1,-2.988235092E1
2.535821752E2,-1.405950928E1,4.274490356E1,-2.974021912E1
2.535921393E2,-1.348764038E1,4.331182098E1,-2.879830933E1
2.536021042E2,-1.300350952E1,4.389240646E1,-2.838090706E1
2.536120683E2,-1.243391418E1,4.470348740E1,-2.699391174E1
2.536220323E2,-1.215631104E1,4.555827332E1,-2.599438858E1
2.536319962E2,-1.200053406E1,4.652388763E1,-2.380437660E1
2.536419602E2,-1.187127686E1,4.729765320E1,-2.280676270E1
2.536519253E2,-1.180281067E1,4.816798782E1,-2.075500488E1
2.536618892E2,-1.197004700E1,4.907259369E1,-1.941592789E1
2.536718532E2,-1.198965454E1,4.970796585E1,-1.722842789E1
2.536818172E2,-1.253540039E1,5.017603683E1,-1.603488159E1
2.536917822E2,-1.293557739E1,5.041923523E1,-1.401741409E1
2.537017462E2,-1.371612549E1,5.050838089E1,-1.357671356E1
2.537117102E2,-1.388754272E1,5.058776855E1,-1.266297531E1
2.537216743E2,-1.388412476E1,5.058771515E1,-1.268467712E1
2.537316382E2,-1.445021057E1,5.056942749E1,-1.307944489E1
2.537416033E2,-1.437751770E1,5.056502151E1,-1.226609039E1
2.537515673E2,-1.418258667E1,5.061624908E1,-1.251534271E1
2.537615312E2,-1.373167419E1,5.089653778E1,-1.223501587E1
2.537714952E2,-1.334654236E1,5.117562485E1,-1.237526703E1
2.537814592E2,-1.283067322E1,5.131906128E1,-1.211601639E1
2.537914242E2,-1.238630676E1,5.150679398E1,-1.220002747E1
2.538013882E2,-1.202040100E1,5.169930267E1,-1.206826401E1
2.538113522E2,-1.154467773E1,5.184460449E1,-1.197609329E1
2.538213163E2,-1.106185913E1,5.192150116E1,-1.189171982E1
2.538312812E2,-1.050793457E1,5.206011963E1,-1.169631577E1
2.538412452E2,-9.996017456E0,5.229293442E1,-1.220053482E1
2.538512093E2,-9.335891724E0,5.241033173E1,-1.190551376E1
2.538611732E2,-8.953323364E0,5.259390259E1,-1.256340027E1
2.538711372E2,-8.489715576E0,5.251666641E1,-1.207216644E1
2.538811023E2,-8.539886475E0,5.252411270E1,-1.265567398E1
2.538910662E2,-8.341354370E0,5.249700928E1,-1.231714249E1
2.539010302E2,-8.653457642E0,5.250791168E1,-1.288011932E1
2.539109942E2,-8.532119751E0,5.246784973E1,-1.213675690E1
2.539209582E2,-9.092788696E0,5.254367828E1,-1.296273041E1
2.539309232E2,-9.238220215E0,5.248933411E1,-1.205994415E1
2.539408872E2,-9.732498169E0,5.249905396E1,-1.214824295E1
2.539508513E2,-9.732498169E0,5.249905396E1,-1.214824295E1
2.539608153E2,-9.879409790E0,5.234507751E1,-1.072126389E1
2.539707802E2,-1.063035583E1,5.260019302E1,-1.073037720E1
2.539807443E2,-1.087037659E1,5.239289474E1,-1.065242767E1
2.539907082E2,-1.145996094E1,5.225337601E1,-1.248261642E1
2.540006722E2,-1.176647949E1,5.147808075E1,-1.412988281E1
2.540106362E2,-1.264179993E1,5.080167389E1,-1.648103333E1
2.540206012E2,-1.349505615E1,4.989540100E1,-1.829087067E1
2.540305652E2,-1.428521729E1,4.910077667E1,-1.981930161E1
2.540405292E2,-1.505976868E1,4.826811981E1,-2.114375877E1
2.540504932E2,-1.586582947E1,4.715358734E1,-2.257908440E1
2.540604582E2,-1.685435486E1,4.603562164E1,-2.431105804E1
2.540704222E2,-1.774623108E1,4.455718231E1,-2.576354790E1
2.540803863E2,-1.862675476E1,4.297412491E1,-2.739545250E1
2.540903503E2,-1.943324280E1,4.155646896E1,-2.865707016E1
