"Time (s)","Sound pressure level (dB)"
8.271694283E1,-4.148320783E1
8.282051575E1,-4.067183503E1
8.292711125E1,-3.922850734E1
8.303364371E1,-3.699295174E1
8.313722262E1,-3.966806093E1
8.324375375E1,-4.055287094E1
8.335034496E1,-3.851094791E1
8.345394808E1,-3.828094195E1
8.356039054E1,-3.851217817E1
8.366551442E1,-3.833684118E1
8.377061108E1,-3.546902535E1
8.387707575E1,-3.639256461E1
8.397871225E1,-3.774040145E1
8.408523029E1,-4.465922509E1
8.418737933E1,-4.499933029E1
8.429388442E1,-4.223176141E1
8.439816725E1,-4.079595262E1
8.450400537E1,-4.112376494E1
8.461046262E1,-4.290609774E1
8.471557846E1,-4.293998573E1
8.481936575E1,-4.204900613E1
8.492548567E1,-4.382875942E1
8.503194779E1,-4.594443557E1
8.513732771E1,-4.407358791E1
8.524374829E1,NaN
8.534579429E1,-4.290963311E1
8.544867292E1,-4.347320757E1
8.555402875E1,-4.567365103E1
8.566062012E1,-4.355165417E1
8.576724287E1,-4.362430782E1
8.587074237E1,-4.437604399E1
8.597718446E1,-4.054734849E1
8.608268208E1,-4.085342423E1
8.618752246E1,-4.109428977E1
8.629406321E1,-4.238046574E1
8.640024483E1,-4.687365330E1
8.650411250E1,-4.462925341E1
8.661060162E1,-4.416459859E1
8.671716004E1,-4.426541742E1
8.682083608E1,-4.378618902E1
8.692732321E1,-4.457827823E1
8.703389271E1,-4.632936027E1
8.713750650E1,-4.540803131E1
8.724398850E1,-4.462288626E1
8.735046779E1,NaN
8.745424433E1,-4.500665365E1
8.756070625E1,-4.720160717E1
8.766486629E1,-4.725665449E1
8.777087271E1,-4.830088223E1
8.787355583E1,-4.602683059E1
8.797943683E1,-4.565907539E1
8.808588342E1,-4.605074604E1
8.818766096E1,-4.545402479E1
8.829413792E1,-4.717069619E1
8.839702912E1,-4.778480602E1
8.850291012E1,-4.682641450E1
8.860939737E1,-4.668382769E1
8.871594558E1,-4.539699253E1
8.882097879E1,-4.485451686E1
8.892770342E1,-4.459919181E1
8.903420175E1,-4.358970120E1
8.913763054E1,NaN
8.924336554E1,-4.259746967E1
8.934986512E1,-4.247430616E1
8.945440921E1,-4.363541973E1
8.955579204E1,-4.552770705E1
8.966154996E1,-4.578760579E1
8.976804583E1,-4.720221521E1
8.987103779E1,-4.473709244E1
8.997768858E1,-4.516074371E1
9.008210692E1,-4.415222248E1
9.018782233E1,-4.550960844E1
9.029422396E1,-4.470472192E1
9.039733496E1,-4.503112188E1
9.050318858E1,-4.432349149E1
9.060967242E1,-4.345019451E1
9.071219971E1,-4.550421853E1
9.081876925E1,-4.506734507E1
9.092120062E1,-4.320723188E1
9.102780821E1,-4.495926901E1
9.113419196E1,-4.432823096E1
9.123779458E1,NaN
9.134210804E1,-4.360376770E1
9.144828221E1,-4.207513333E1
9.155447287E1,-4.389342044E1
9.165934879E1,-4.318243200E1
9.176588425E1,-4.236066346E1
9.187119521E1,-4.438205954E1
9.197776404E1,-4.404405786E1
9.208418254E1,-4.472410121E1
9.218799633E1,-4.414138909E1
9.229442421E1,-4.587192595E1
9.239715846E1,-4.570218809E1
9.250326292E1,-4.669726337E1
9.260978133E1,-4.572408454E1
9.271628692E1,-4.345021481E1
9.282127021E1,-4.235005309E1
9.292773283E1,-4.226864698E1
9.303443221E1,-4.383080733E1
9.313794904E1,-4.324514783E1
9.324448646E1,-4.430134809E1
9.334871142E1,NaN
9.345325746E1,-4.278918438E1
9.355463658E1,-4.416171619E1
9.365847787E1,-4.476238385E1
9.376505917E1,-4.511805345E1
9.387134954E1,-4.638089842E1
9.397777529E1,-4.538010588E1
9.408436433E1,-4.475751142E1
9.418811333E1,-4.418588889E1
9.429465658E1,-4.507129853E1
9.440073646E1,-4.548609622E1
9.450474417E1,-4.559885211E1
9.460879579E1,-4.509024858E1
9.471530717E1,-4.467927139E1
9.482144987E1,-4.306492727E1
9.492809283E1,-4.395241725E1
9.503456950E1,-4.353591984E1
9.513812950E1,-4.344708946E1
9.524465954E1,-4.484420185E1
9.535111337E1,-4.371579504E1
9.545487121E1,-4.495253088E1
9.556130554E1,-4.324977402E1
9.566785517E1,-4.660547187E1
9.577147192E1,-4.348918740E1
9.587800858E1,-4.597115065E1
9.598447133E1,-4.563028190E1
9.608823771E1,-4.506883179E1
9.619460171E1,-4.663669736E1
9.630119692E1,-4.558102827E1
9.640424362E1,-4.664190682E1
9.651101262E1,-4.645798106E1
9.661750292E1,-4.603842672E1
9.672166300E1,-4.553607298E1
9.682539692E1,-4.565317630E1
9.692843596E1,-4.372644727E1
9.703495221E1,-4.347343826E1
9.713825858E1,-4.316758840E1
9.724476292E1,-4.583518990E1
9.735147158E1,-4.490639313E1
9.745501312E1,-4.481035525E1
9.756148862E1,-4.562737300E1
9.766554496E1,-4.483062992E1
9.777163421E1,-4.456522145E1
9.787809454E1,-4.769801957E1
9.798455350E1,-4.702651724E1
9.808834062E1,-4.773339190E1
9.819494433E1,-4.541198341E1
9.830144729E1,-4.665649648E1
9.840502408E1,-4.523701690E1
9.851177271E1,-4.497784789E1
9.861837292E1,-4.502124798E1
9.872178946E1,-4.483014864E1
9.882834808E1,-4.537777018E1
9.893484596E1,-4.505284906E1
9.903842212E1,-4.469373898E1
9.914485258E1,-4.655194134E1
9.924676883E1,NaN
9.935254512E1,-4.675511295E1
9.945516729E1,-4.642390731E1
9.956166104E1,-4.701006464E1
9.966487817E1,-4.414116114E1
9.977040529E1,-4.391622125E1
9.987691137E1,-4.483503774E1
9.998336342E1,-4.612483424E1
1.000885070E2,-4.560623481E1
1.001949599E2,-4.719109464E1
1.003014464E2,-4.479344063E1
1.004051659E2,-4.428376899E1
1.005075603E2,-4.328443749E1
1.006133867E2,-4.352997423E1
1.007199565E2,-4.257910651E1
1.008218851E2,-4.294234133E1
1.009284454E2,-4.351753366E1
1.010349673E2,-4.226506795E1
1.011385949E2,-4.304080327E1
1.012451010E2,-4.142596789E1
1.013515107E2,NaN
1.014553322E2,-4.294380369E1
1.015619520E2,-4.361083060E1
1.016685207E2,-4.472785741E1
1.017720802E2,-4.025687696E1
1.018786232E2,-4.366138986E1
1.019847310E2,-4.485381306E1
1.020886165E2,-4.327289325E1
1.021920505E2,-4.256457956E1
1.022985405E2,-4.359335506E1
1.024039725E2,-4.461561315E1
1.025104129E2,-4.364167478E1
1.026169370E2,-4.326384716E1
1.027221024E2,-3.997420844E1
1.028287334E2,-4.213184927E1
1.029352445E2,-4.205699441E1
1.030387142E2,-4.346768508E1
1.031451340E2,NaN
1.032509166E2,-4.255087904E1
1.033553733E2,-4.346111031E1
1.034618026E2,-4.486852723E1
1.035675716E2,-4.364832733E1
1.036721226E2,-4.514105665E1
1.037787531E2,-4.587714371E1
1.038852290E2,-4.545225838E1
1.039907379E2,-4.327482453E1
1.040973197E2,-4.277692583E1
1.042038295E2,-4.320939937E1
1.043054737E2,-4.236441950E1
1.044088095E2,-4.353022949E1
1.045153438E2,-4.378373712E1
1.046208911E2,-4.421503890E1
1.047274973E2,-4.425739507E1
1.048339955E2,-4.417625192E1
1.049388523E2,-4.369496634E1
1.050451889E2,-4.442469541E1
1.051474123E2,-4.610830899E1
1.052539255E2,-4.717743625E1
1.053555320E2,-4.667994462E1
1.054619757E2,-4.676497737E1
1.055684471E2,-4.475400692E1
1.056722414E2,-4.471009104E1
1.057786984E2,-4.543062967E1
1.058852258E2,-4.542562209E1
1.059890001E2,-4.589538410E1
1.060955228E2,-4.621924632E1
1.062019431E2,-4.665752269E1
1.063056078E2,-4.476646710E1
1.064079613E2,-4.452324871E1
1.065139780E2,-4.474740662E1
1.066205547E2,-4.484075049E1
1.067224507E2,-4.606655542E1
1.068289410E2,-4.818727355E1
1.069354583E2,-4.433544939E1
1.070390220E2,-4.558611468E1
1.071455283E2,-4.457116946E1
1.072519637E2,-4.474254490E1
1.073556891E2,-4.611158255E1
1.074575552E2,-4.645010152E1
1.075641669E2,-4.570095509E1
1.076705944E2,-4.571388671E1
1.077723957E2,-4.629504484E1
1.078789247E2,-4.395345219E1
1.079853877E2,-4.699387299E1
1.080890844E2,-4.471698748E1
1.081955741E2,-4.540446975E1
1.083020920E2,-4.605437912E1
1.084057929E2,-4.439869789E1
1.085122801E2,-4.431307022E1
1.086187991E2,-4.497911080E1
1.087226189E2,-4.307169922E1
1.088291635E2,-4.432941762E1
1.089354444E2,-4.493586904E1
1.090379413E2,-4.578444208E1
1.091444450E2,-4.476060316E1
1.092511844E2,-4.462607751E1
1.093558397E2,-4.338577513E1
1.094623355E2,-4.422846316E1
1.095643179E2,-4.549026908E1
1.096709325E2,-4.432898154E1
1.097738062E2,-4.570275960E1
1.098784098E2,-4.499984219E1
1.099849131E2,-4.213336559E1
1.100892390E2,-4.274321005E1
1.101956846E2,-4.246072707E1
1.103021861E2,-4.283838901E1
1.104060073E2,-4.278340023E1
1.105125292E2,-4.439867963E1
1.106190219E2,-4.389840771E1
1.107227161E2,-4.333207716E1
1.108292184E2,-4.273905454E1
1.109336170E2,-4.246968504E1
1.110393322E2,-4.482299271E1
1.111458348E2,NaN
1.112516083E2,-4.483882888E1
1.113560269E2,-4.588348269E1
1.114624517E2,-4.664478281E1
1.115684246E2,-4.478498433E1
1.116727177E2,-4.388004536E1
1.117791947E2,-4.456881999E1
1.118831775E2,-4.388277635E1
1.119894411E2,-4.573191011E1
1.120923636E2,-4.403118790E1
1.121988841E2,-4.628330933E1
1.123047298E2,-4.508264653E1
1.124111882E2,-4.375525953E1
1.125178818E2,-4.274934894E1
1.126228249E2,-4.314372360E1
1.127294806E2,-4.397255821E1
1.128359595E2,-4.434175870E1
1.129394118E2,NaN
1.130419603E2,-4.483768496E1
1.131469683E2,-4.460672441E1
1.132518817E2,NaN
1.133561374E2,-4.238320789E1
1.134626329E2,-4.410802101E1
1.135691728E2,-4.457613370E1
1.136715987E2,-4.606945246E1
1.137780248E2,-4.249223304E1
1.138845033E2,-4.447475435E1
1.139895987E2,-4.383232786E1
1.140935109E2,-4.348954553E1
1.141979798E2,-4.222795772E1
1.143020084E2,-4.385794054E1
1.144062380E2,-4.482290132E1
1.145126966E2,-4.567572588E1
1.146188720E2,-4.516101059E1
1.147229666E2,-4.156602007E1
1.148294695E2,-4.292516015E1
1.149359267E2,-4.266791101E1
1.150395772E2,NaN
1.151420496E2,-4.317078896E1
1.152480393E2,-4.454727869E1
1.153520173E2,NaN
1.154563688E2,-4.480277159E1
1.155629011E2,-4.254264704E1
1.156694538E2,-4.447776639E1
1.157717155E2,-4.522337531E1
1.158782396E2,-4.216892515E1
1.159846949E2,-4.550669498E1
1.160896817E2,-4.549301509E1
1.161919376E2,-4.596328406E1
1.162981621E2,-4.445233936E1
1.164045987E2,-4.435741247E1
1.165063945E2,-4.319741796E1
1.166129226E2,-4.289780980E1
1.167195813E2,-4.178990988E1
1.168230939E2,-4.325919411E1
1.169265081E2,-4.323291128E1
1.170329614E2,-4.349552786E1
1.171384340E2,NaN
1.172398012E2,-4.247485407E1
1.173414638E2,-4.202561599E1
1.174461638E2,NaN
1.175520750E2,-4.509006359E1
1.176565690E2,-4.588889513E1
1.177585968E2,-4.558419603E1
1.178650689E2,-4.603216799E1
1.179715363E2,-4.475772470E1
1.180731666E2,-4.352397546E1
1.181752764E2,-4.351253377E1
1.182802130E2,-4.449010786E1
1.183866281E2,-4.395881636E1
1.184898863E2,-4.322302010E1
1.185953400E2,-4.402888550E1
1.187019684E2,-4.459423752E1
1.188053953E2,-4.494516522E1
1.189119000E2,-4.356683990E1
1.190153360E2,-4.345127561E1
1.191219021E2,-4.417462879E1
1.192284146E2,-4.428947332E1
1.193316572E2,-4.451754388E1
1.194353942E2,-4.703962144E1
1.195400664E2,-4.563909358E1
1.196445252E2,-4.529426990E1
1.197512595E2,-4.497178222E1
1.198567624E2,-4.351704450E1
1.199633470E2,-4.579382345E1
1.200652727E2,-4.546019837E1
1.201717755E2,-4.675438567E1
1.202733364E2,-4.680830789E1
1.203797918E2,-4.656637711E1
1.204862525E2,-4.678431008E1
1.205901476E2,-4.538579778E1
1.206966851E2,-4.517467496E1
1.208032253E2,-4.444297837E1
1.209067332E2,-4.379789908E1
1.210132613E2,-4.552685977E1
1.211152364E2,-4.616027165E1
1.212216939E2,-4.396218530E1
1.213235130E2,-4.403656364E1
1.214299535E2,-4.413308663E1
1.215359315E2,-4.390119555E1
1.216400955E2,NaN
1.217452490E2,-4.347745768E1
1.218517230E2,-4.516625703E1
1.219567986E2,-4.481590310E1
1.220632780E2,-4.656388480E1
1.221652431E2,-4.482787925E1
1.222716617E2,-4.513220824E1
1.223734910E2,-4.633000117E1
1.224799696E2,-4.487425087E1
1.225864907E2,-4.421275894E1
1.226902230E2,-4.580027366E1
1.227952376E2,-4.776423967E1
1.229017461E2,-4.567732184E1
1.230070145E2,-4.582106267E1
1.231135803E2,-4.461381773E1
1.232200765E2,-4.418960813E1
1.233236553E2,-4.291365373E1
1.234301912E2,-4.303585046E1
1.235356263E2,-4.263543812E1
1.236402760E2,-4.508337948E1
1.237466727E2,NaN
1.238524567E2,-4.444528076E1
1.239557244E2,-4.333789573E1
1.240621902E2,-4.338746703E1
1.241686850E2,-4.431189496E1
1.242736478E2,-4.417544429E1
1.243801031E2,-4.471536012E1
1.244865811E2,-4.487522282E1
1.245904198E2,-4.512109902E1
1.246969502E2,-4.506242779E1
1.248033974E2,-4.458333562E1
1.249070181E2,-4.433252544E1
1.250134911E2,-4.394569521E1
1.251199999E2,-4.455248400E1
1.252237570E2,-4.392456921E1
1.253303091E2,-4.437571706E1
1.254367411E2,-4.639639846E1
1.255404605E2,NaN
1.256464232E2,-4.405882641E1
1.257529557E2,-4.556896470E1
1.258571657E2,-4.451060960E1
1.259636264E2,-4.477274870E1
1.260701910E2,-4.409089410E1
1.261738051E2,-4.606337821E1
1.262802412E2,-4.782060137E1
1.263866957E2,-4.644792267E1
1.264904832E2,-4.593648869E1
1.265969600E2,-4.414609267E1
1.267034679E2,-4.469987965E1
1.268071825E2,-4.420677479E1
1.269137508E2,-4.577868582E1
1.270202382E2,-4.456743275E1
1.271239357E2,-4.480488177E1
1.272303667E2,-4.735919366E1
1.273368634E2,-4.516540485E1
1.274405532E2,-4.374792554E1
1.275469831E2,-4.321615385E1
1.276535948E2,-4.353180754E1
1.277572431E2,-4.432169060E1
1.278637542E2,-4.553105995E1
1.279701997E2,-4.412744062E1
1.280739335E2,-4.394692449E1
1.281803552E2,-4.461690106E1
1.282868080E2,-4.386149341E1
1.283906965E2,-4.267767311E1
1.284952051E2,-4.346371231E1
1.286016935E2,-4.443758594E1
1.287073104E2,-4.473690510E1
1.288105847E2,-4.673754055E1
1.289170845E2,-4.523728747E1
1.290227290E2,-4.442873205E1
1.291292383E2,-4.584982835E1
1.292356595E2,-4.330685260E1
1.293407207E2,NaN
1.294451375E2,-4.311819512E1
1.295517468E2,-4.232714651E1
1.296574883E2,-4.351839790E1
1.297639619E2,-4.231781022E1
1.298680393E2,-4.297563007E1
1.299740705E2,-4.227453478E1
1.300805137E2,-4.288371445E1
1.301869194E2,-4.420893016E1
1.302907698E2,-4.477427342E1
1.303972678E2,-4.559266817E1
1.305038188E2,-4.425345975E1
1.306074612E2,-4.531393241E1
1.307140703E2,-4.536736731E1
1.308205348E2,-4.503521397E1
1.309242430E2,-4.509374215E1
1.310270782E2,-4.458409405E1
1.311335595E2,-4.593979244E1
1.312394862E2,-4.542366142E1
1.313460511E2,-4.447879284E1
1.314475471E2,NaN
1.315494784E2,-4.390454709E1
1.316562010E2,-4.417988455E1
1.317627292E2,-4.409416574E1
1.318692148E2,-4.431178786E1
1.319742217E2,-4.538667587E1
1.320806989E2,-4.481412956E1
