"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.360610917E0,-4.456032562E1,1.179980564E1,-8.052040100E1
2.370575917E0,-4.438433075E1,1.178203106E1,-8.027046204E1
2.380541917E0,-4.439206696E1,1.178499508E1,-8.030639648E1
2.390506917E0,-4.424308014E1,1.171952438E1,-8.027071381E1
2.400472917E0,-4.422529602E1,1.169055367E1,-8.013973999E1
2.410437917E0,-4.413239288E1,1.179336739E1,-7.992031860E1
2.420402917E0,-4.406632233E1,1.183360004E1,-7.989105225E1
2.430368917E0,-4.423585510E1,1.177919388E1,-7.975705719E1
2.440333917E0,-4.422619629E1,1.170452309E1,-7.953179932E1
2.450298917E0,-4.416220856E1,1.164896202E1,-7.945299530E1
2.460264917E0,-4.393522644E1,1.160585880E1,-7.948975372E1
2.470229917E0,-4.404474640E1,1.144865990E1,-7.919589996E1
2.480195917E0,-4.398814392E1,1.117087364E1,-7.918141174E1
2.490160917E0,-4.398814392E1,1.117087364E1,-7.918141174E1
2.500125917E0,-4.430327606E1,1.036953068E1,-7.894865417E1
2.510091917E0,-4.430327606E1,1.036953068E1,-7.894865417E1
2.520056917E0,-4.440409088E1,9.744516373E0,-7.913360596E1
2.530021917E0,-4.427423096E1,9.493963242E0,-7.897402191E1
2.539987917E0,-4.471852112E1,9.276891708E0,-7.896813202E1
2.549952917E0,-4.492520142E1,9.202960968E0,-7.915567017E1
2.559918917E0,-4.630789948E1,9.184612274E0,-7.862945557E1
2.569883917E0,-4.626580048E1,8.952198029E0,-7.855081177E1
2.579848917E0,-4.668212891E1,8.628061295E0,-7.837513733E1
2.589814917E0,-4.685903168E1,8.461656570E0,-7.792313385E1
2.599779917E0,-4.716899872E1,8.360851288E0,-7.776895142E1
2.609744917E0,-4.723689270E1,8.328439713E0,-7.755286407E1
2.619710917E0,-4.773622131E1,8.304761887E0,-7.753179932E1
2.629675917E0,-4.810109711E1,8.442670822E0,-7.727035522E1
2.639641917E0,-4.860615540E1,8.420366287E0,-7.714491272E1
2.649606917E0,-4.897079468E1,8.596227646E0,-7.673628235E1
2.659571917E0,-4.961380005E1,8.999629974E0,-7.629370117E1
2.669537917E0,-4.996850586E1,9.649139404E0,-7.617718506E1
2.679502917E0,-5.021570587E1,1.032089233E1,-7.605021667E1
2.689467917E0,-5.027273560E1,1.110764599E1,-7.588304138E1
2.699433917E0,-5.003968811E1,1.181663799E1,-7.573526764E1
2.709398917E0,-4.952900696E1,1.251618195E1,-7.562747192E1
2.719364917E0,-4.912784576E1,1.317193794E1,-7.571122742E1
2.729329917E0,-4.871644592E1,1.354746342E1,-7.558729553E1
2.739294917E0,-4.807736969E1,1.389909935E1,-7.587035370E1
2.749260917E0,-4.807736969E1,1.389909935E1,-7.587035370E1
2.759225917E0,-4.755150604E1,1.395707512E1,-7.593094635E1
2.769190917E0,-4.724916840E1,1.398536491E1,-7.618231201E1
2.779156917E0,-4.698734283E1,1.373285198E1,-7.624449158E1
2.789121917E0,-4.660338593E1,1.360293293E1,-7.665087891E1
2.799087917E0,-4.669303131E1,1.340126705E1,-7.679771423E1
2.809052917E0,-4.632411957E1,1.343200684E1,-7.688284302E1
2.819017917E0,-4.636176300E1,1.327707100E1,-7.727582550E1
2.828983917E0,-4.617241669E1,1.330909157E1,-7.754380035E1
2.838948917E0,-4.624804688E1,1.309554100E1,-7.794961548E1
2.848913917E0,-4.596109009E1,1.309392643E1,-7.821582031E1
2.858879917E0,-4.611634827E1,1.290763378E1,-7.857702637E1
2.868844917E0,-4.589743805E1,1.280759716E1,-7.859956360E1
2.878810917E0,-4.615611267E1,1.269722366E1,-7.879598236E1
2.888775917E0,-4.604376221E1,1.274393559E1,-7.867692566E1
2.898740917E0,-4.637505341E1,1.267494583E1,-7.878205872E1
2.908706917E0,-4.627323151E1,1.265528870E1,-7.885507965E1
2.918671917E0,-4.674636078E1,1.265875435E1,-7.874219513E1
2.928636917E0,-4.668643951E1,1.257838440E1,-7.859899902E1
2.938602917E0,-4.674106598E1,1.255259514E1,-7.848526001E1
2.948567917E0,-4.657730103E1,1.244864941E1,-7.892672729E1
