"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.639641917E0,-6.082942709E-3,-1.370449550E-2,1.064013224E-2
2.649606917E0,-6.050499622E-3,-6.726497784E-3,1.381429285E-2
2.659571917E0,1.970279962E-2,3.049543872E-2,1.957124844E-2
2.669537917E0,1.148442551E-2,7.770689204E-3,1.211181097E-2
2.679502917E0,-1.323050819E-2,-2.404929325E-2,1.582931727E-2
2.689467917E0,1.165671507E-3,-2.583818045E-3,9.630768560E-3
2.699433917E0,1.667272672E-2,1.946768910E-2,1.007578243E-2
2.709398917E0,-2.518313937E-3,-4.558619112E-3,5.214163568E-3
2.719364917E0,-1.226974465E-2,-1.715616882E-2,6.852007937E-3
2.729329917E0,-2.156923059E-3,-3.478973173E-3,9.601988830E-3
2.739294917E0,1.176155545E-2,9.519382380E-3,1.360764913E-2
2.749260917E0,-1.744688605E-3,-5.290039349E-3,1.315173879E-2
2.759225917E0,-2.580921166E-3,-8.526046760E-3,1.003211178E-2
2.769190917E0,5.750223063E-3,3.083623946E-3,1.177810598E-2
2.779156917E0,1.495024189E-3,2.207444049E-3,1.082416158E-2
2.789121917E0,-2.125138883E-3,-4.220946692E-3,1.070268545E-2
2.799087917E0,5.558655248E-4,-1.689079683E-3,1.702343300E-2
2.809052917E0,4.616467748E-3,9.477854706E-3,1.265395805E-2
2.819017917E0,3.806068096E-3,-2.912235912E-3,1.457409747E-2
2.828983917E0,4.237929359E-3,-4.247160628E-3,9.344232269E-3
2.838948917E0,8.416961879E-3,5.906674080E-3,1.502688602E-2
2.848913917E0,2.677246928E-3,-3.502918407E-4,9.493331425E-3
2.858879917E0,1.156315440E-3,-8.214050904E-4,7.887711748E-3
2.868844917E0,-3.627312370E-3,1.056207344E-3,1.026245579E-2
2.878810917E0,1.941890223E-3,4.412855953E-3,1.630064100E-2
2.888775917E0,1.339113805E-3,3.519218415E-3,1.379306428E-2
2.898740917E0,3.324766643E-3,4.085939378E-3,1.105480269E-2
2.908706917E0,2.961348277E-3,4.464787431E-3,1.020466536E-2
2.918671917E0,3.958968446E-3,-2.416820731E-3,5.984620657E-3
2.928636917E0,1.229284680E-4,5.746983923E-3,1.137967594E-2
2.938602917E0,5.150443874E-3,1.829474233E-3,1.089444850E-2
2.948567917E0,-1.379822847E-3,5.579073913E-3,1.133471262E-2
2.958533917E0,1.283870894E-3,5.283995531E-3,1.264685206E-2
2.968498917E0,3.197859973E-3,3.555701114E-3,6.832816172E-3
2.978463917E0,3.614378162E-3,4.101915285E-3,1.287392993E-2
2.988429917E0,6.574475556E-4,3.053045832E-3,9.745003656E-3
2.998394917E0,-3.661666997E-3,4.482364282E-3,1.032477431E-2
3.008360917E0,3.863662248E-3,9.098753333E-3,1.071015280E-2
3.018325917E0,3.884701291E-3,7.187670097E-3,1.256824005E-2
3.028290917E0,2.329403069E-3,5.984503776E-3,1.025018375E-2
3.038256917E0,1.478256774E-3,4.284874536E-3,9.055489674E-3
3.048221917E0,4.604102112E-3,4.575407133E-3,9.824624285E-3
3.058186917E0,-9.904007893E-4,4.936475307E-5,6.006716285E-3
3.068153208E0,5.716538988E-3,8.533197455E-3,9.497871622E-3
3.078118208E0,1.710878569E-3,7.381380536E-3,4.423484672E-3
3.088084208E0,-5.852822680E-3,-2.996874042E-3,9.317580611E-3
3.098049208E0,2.890784144E-1,4.278014004E-1,3.449838143E-3
3.108014208E0,5.010972023E-1,7.399947643E-1,-1.354238391E-2
3.117980208E0,4.405611455E-1,7.422637939E-1,-1.602098718E-2
