"Time (s)","X (hPa)"
3.683955402E2,1.022295685E3
3.694643992E2,1.022235947E3
3.705332702E2,1.022173538E3
3.716021922E2,1.022121201E3
3.726711002E2,1.022079315E3
3.737400092E2,1.022044144E3
3.748089042E2,1.022022476E3
3.758778582E2,1.022013168E3
3.769468372E2,1.022000504E3
3.780158242E2,1.021987381E3
3.790847492E2,1.021987381E3
3.801536492E2,1.021986008E3
3.812226342E2,1.021988297E3
3.822916052E2,1.021995087E3
3.833605812E2,1.022015762E3
3.844295452E2,1.022041397E3
3.854985192E2,1.022075043E3
3.865674762E2,1.022121658E3
3.876363832E2,1.022176361E3
3.887053102E2,1.022242432E3
3.897742572E2,1.022314453E3
3.908431792E2,1.022389984E3
3.919120412E2,1.022460556E3
3.929808742E2,1.022525177E3
3.940497572E2,1.022576752E3
3.951187032E2,1.022621155E3
3.961875732E2,1.022656326E3
3.972564432E2,1.022685089E3
3.983253512E2,1.022705612E3
3.993942312E2,1.022718048E3
4.004631552E2,1.022727203E3
4.015320782E2,1.022731400E3
4.026009722E2,1.022731400E3
4.036698362E2,1.022727509E3
4.047386952E2,1.022725372E3
4.058075482E2,1.022719193E3
4.068763852E2,1.022710190E3
4.079452312E2,1.022704315E3
4.090140882E2,1.022698822E3
4.100829142E2,1.022694778E3
4.111516892E2,1.022691269E3
4.122205042E2,1.022691269E3
4.132893232E2,1.022691727E3
4.143581852E2,1.022694778E3
4.154270272E2,1.022701416E3
4.164959032E2,1.022708359E3
4.175647932E2,1.022712708E3
4.186336902E2,1.022715454E3
4.197025232E2,1.022718811E3
4.207713932E2,1.022721100E3
4.218402562E2,1.022722473E3
4.229091152E2,1.022723846E3
4.239779932E2,1.022723846E3
4.250468582E2,1.022722778E3
4.261157312E2,1.022721558E3
4.271846612E2,1.022719040E3
4.282535622E2,1.022717133E3
4.293224982E2,1.022687531E3
4.303914262E2,1.022467880E3
4.314604002E2,1.022068634E3
4.325293722E2,1.021942062E3
4.335983762E2,1.021921616E3
4.346674002E2,1.021921616E3
4.357363832E2,1.022084351E3
4.368053212E2,1.022525330E3
4.378742522E2,1.022679672E3
4.389432012E2,1.022712784E3
4.400121832E2,1.022728882E3
4.410811082E2,1.022731705E3
4.421500352E2,1.022732086E3
4.432189712E2,1.022732086E3
4.442878942E2,1.022740250E3
4.453568262E2,1.022744675E3
4.464257662E2,1.022744675E3
4.474947262E2,1.022743912E3
4.485636992E2,1.022743912E3
4.496327182E2,1.022750473E3
4.507017232E2,1.022750473E3
4.517707472E2,1.022745590E3
4.528397332E2,1.022745514E3
4.539086772E2,1.022720032E3
4.549776452E2,1.022677536E3
4.560466002E2,1.022635269E3
4.571155892E2,1.022580566E3
4.581845312E2,1.022526627E3
4.592534722E2,1.022478256E3
4.603223782E2,1.022438812E3
4.613912872E2,1.022402573E3
4.624601522E2,1.022376099E3
4.635290042E2,1.022352066E3
4.645978752E2,1.022345963E3
4.656667612E2,1.022345963E3
4.667356682E2,1.022354050E3
4.678045642E2,1.022368317E3
4.688734532E2,1.022394257E3
4.699422882E2,1.022421799E3
4.710111542E2,1.022454071E3
4.720800142E2,1.022488556E3
4.731488562E2,1.022531509E3
4.742176962E2,1.022589340E3
4.752865402E2,1.022652740E3
4.763553732E2,1.022709732E3
4.774241862E2,1.022771530E3
4.784930672E2,1.022824554E3
4.795619212E2,1.022858429E3
