"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.020152208E0,1.784552820E-2,-1.637145691E-2,4.880350828E-1
2.030116208E0,3.928538878E-3,-2.501892392E-3,4.966798127E-1
2.040081208E0,2.295389399E-2,6.810835749E-2,4.897883534E-1
2.050045208E0,5.089847744E-2,1.726698875E-1,4.915089607E-1
2.060010208E0,7.886193693E-2,2.557514608E-1,5.019666553E-1
2.069974208E0,3.977667540E-2,2.908923030E-1,5.039392114E-1
2.079938208E0,-5.111568049E-2,2.477376312E-1,4.696158469E-1
2.089903208E0,-1.408356279E-1,1.686890870E-1,4.120658338E-1
2.099867208E0,-2.154225111E-1,1.465156078E-1,3.216371536E-1
2.109832208E0,-2.113210559E-1,1.953849792E-1,2.080924660E-1
2.119796208E0,-2.318718731E-1,3.948450983E-1,1.024424732E-1
2.129761208E0,-1.952894628E-1,3.032502532E-1,5.805658549E-2
2.139725208E0,-7.993490249E-2,1.798910499E-1,6.560690701E-2
2.149690208E0,4.615008458E-2,5.439781770E-2,3.330205381E-2
2.159654208E0,2.068609446E-1,4.509672895E-2,3.181700828E-3
2.169619208E0,3.552307189E-1,7.887043059E-3,-2.111831307E-2
2.179583208E0,4.325041771E-1,-4.027063027E-2,-4.145447537E-2
2.189547208E0,4.398154318E-1,-8.000377566E-2,-8.017472923E-2
2.199512208E0,3.919235170E-1,-1.357453465E-1,-1.590517014E-1
2.209476208E0,3.153372705E-1,-2.325569391E-1,-2.791453302E-1
2.219441208E0,2.379604578E-1,-2.714039385E-1,-4.044012427E-1
2.229405208E0,1.564710885E-1,-2.328470945E-1,-5.439216495E-1
2.239370208E0,-3.999542445E-3,-1.645993441E-1,-7.019131780E-1
2.249334208E0,-3.218449950E-1,-1.254209280E-1,-8.454484940E-1
2.259299208E0,-7.186703682E-1,-1.302183568E-1,-8.507606983E-1
2.269263208E0,-9.652165174E-1,-1.949243993E-1,-7.630746961E-1
2.279227208E0,-9.084754586E-1,-3.132004440E-1,-6.669939756E-1
2.289192208E0,-5.782037973E-1,-3.080903590E-1,-5.376974940E-1
2.299156208E0,-1.568118036E-1,-2.377943695E-1,-4.533616006E-1
2.309121208E0,2.073081732E-1,-1.739403754E-1,-3.852132261E-1
2.319085208E0,4.903678298E-1,-1.203943267E-1,-3.247943521E-1
2.329050208E0,6.964156032E-1,-3.343526646E-2,-2.761261165E-1
2.339014208E0,8.110870123E-1,5.534387380E-2,-2.821727991E-1
2.348979208E0,8.266491294E-1,7.501273602E-2,-3.004755378E-1
2.358943208E0,7.519400120E-1,6.875856966E-2,-3.327817917E-1
2.368908208E0,6.141868234E-1,2.822190523E-2,-4.439424574E-1
2.378872208E0,4.214687943E-1,-5.545860901E-2,-5.733134747E-1
2.388836208E0,2.282343507E-1,-1.755027026E-1,-6.837298274E-1
2.398801208E0,8.039348572E-2,-2.599102557E-1,-7.746733427E-1
2.408765208E0,3.296012059E-3,-2.851074636E-1,-8.424232006E-1
2.418730208E0,-1.677410305E-2,-3.005077243E-1,-8.678745031E-1
2.428694208E0,2.976438962E-3,-3.184950352E-1,-8.512588739E-1
2.438659208E0,5.789641291E-2,-2.944844961E-1,-8.120781779E-1
2.448623208E0,1.251598299E-1,-2.238904387E-1,-7.615965605E-1
2.458588208E0,1.739377528E-1,-1.234842092E-1,-7.070822120E-1
2.468552208E0,2.058927715E-1,-3.928142041E-2,-6.668071151E-1
2.478517208E0,2.031888515E-1,4.301025346E-2,-6.356196404E-1
2.488481208E0,1.767055392E-1,8.803848177E-2,-5.931375027E-1
2.498445208E0,1.892122775E-1,1.056014970E-1,-5.767106414E-1
2.508410208E0,2.077976465E-1,1.644941121E-1,-5.479843020E-1
2.518374208E0,2.431218177E-1,2.156467736E-1,-5.106270313E-1
2.528339208E0,2.862955332E-1,2.115011811E-1,-4.616090655E-1
2.538303208E0,3.122054040E-1,1.785930246E-1,-4.023819566E-1
