"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.829915941E1,5.238975331E1,4.890765225E0,4.713095694E0,1.893479405E0,2.975119648E2,5.198828938E0,4.409047378E0
9.929913735E1,5.238975779E1,4.890723244E0,4.865248747E0,1.906028054E0,2.959985560E2,5.267370573E0,4.478578820E0
1.002991151E2,5.238977238E1,4.890688870E0,4.808264190E0,1.942126906E0,3.080453837E2,5.288348662E0,4.501506467E0
1.012990925E2,5.238977659E1,4.890648513E0,5.342254494E0,1.939852782E0,2.955148701E2,5.279216218E0,4.288710361E0
1.022990712E2,5.238977916E1,4.890606969E0,5.243910551E0,1.984228228E0,2.863990438E2,5.258019147E0,4.205281617E0
1.032990490E2,5.238977726E1,4.890566793E0,5.194822957E0,1.946368027E0,2.759564929E2,5.214813916E0,4.099793171E0
1.042990264E2,5.238978231E1,4.890530742E0,4.926315029E0,1.912432823E0,2.790590813E2,5.280567836E0,4.199897554E0
1.052990041E2,5.238978446E1,4.890496783E0,5.009215028E0,1.877223776E0,2.746674667E2,5.275896703E0,4.189504287E0
1.062989819E2,5.238979308E1,4.890460064E0,5.204795633E0,1.953472458E0,2.802927599E2,5.233212667E0,3.929933486E0
1.072989597E2,5.238979137E1,4.890412158E0,4.823528091E0,2.449110385E0,2.819474792E2,5.176750885E0,3.879575061E0
1.083010889E2,5.238979822E1,4.890384670E0,4.692837598E0,1.890940762E0,2.819474792E2,5.630211078E0,4.121650701E0
1.093010957E2,5.238981299E1,4.890333479E0,4.206992676E0,2.805365940E0,2.819474792E2,6.060998236E0,4.026144382E0
1.103010752E2,5.238981965E1,4.890308735E0,3.667083225E0,2.132617829E0,2.819474792E2,6.470246042E0,4.644897961E0
1.113010771E2,5.238982945E1,4.890267130E0,3.288725734E0,2.065350558E0,2.819474792E2,6.859031445E0,5.005117501E0
1.123010844E2,5.238982730E1,4.890227634E0,2.724745560E0,2.416043301E0,2.819474792E2,7.228377480E0,5.173863326E0
1.133010699E2,5.238983187E1,4.890198679E0,2.276332789E0,1.882360334E0,2.819474792E2,7.579256352E0,5.066435252E0
1.143010846E2,5.238983974E1,4.890150438E0,1.850170120E0,2.616559759E0,2.819474792E2,7.912591186E0,5.414619083E0
1.153010908E2,5.238984552E1,4.890117686E0,1.920443850E0,2.162311057E0,2.819474792E2,8.229259433E0,5.761028943E0
1.163010755E2,5.238985030E1,4.890080304E0,1.739990881E0,2.010018922E0,2.816727905E2,8.530094182E0,5.903842503E0
1.173010875E2,5.238985653E1,4.890031003E0,1.776623714E0,2.650135133E0,2.816727905E2,8.815887107E0,5.859433324E0
1.183010916E2,5.238986067E1,4.890004039E0,1.790832493E0,1.931891932E0,2.816727905E2,9.087390543E0,6.158870815E0
1.193010776E2,5.238986659E1,4.889951406E0,1.460421799E0,2.729845668E0,2.816727905E2,9.345318636E0,5.940518057E0
1.203010880E2,5.238986940E1,4.889929161E0,1.128938199E0,1.941490178E0,2.816727905E2,9.590350472E0,6.273493836E0
1.213011039E2,5.238987605E1,4.889876581E0,8.609126955E-1,2.681633709E0,2.816727905E2,9.823130595E0,6.091837208E0
1.223010949E2,5.238988108E1,4.889849748E0,4.809587635E-1,2.065774467E0,2.816727905E2,1.004427183E1,6.735078696E0
1.233010848E2,5.238988701E1,4.889807782E0,9.935292508E-1,2.046302040E0,2.816727905E2,1.025435599E1,6.598527150E0
1.243010738E2,5.238989322E1,4.889763741E0,1.183031502E0,2.417817276E0,2.816727905E2,1.045393587E1,6.692375730E0
1.253010626E2,5.238990065E1,4.889730629E0,5.205838419E-1,1.967795261E0,2.816727905E2,1.064353685E1,6.503278979E0
1.263010509E2,5.238990509E1,4.889683861E0,7.086568708E-1,2.465058646E0,2.816727905E2,1.082365762E1,6.458851507E0
1.273010378E2,5.238990620E1,4.889638070E0,8.598185563E-1,2.300425982E0,2.816727905E2,1.099477246E1,6.633707662E0
1.283010257E2,5.238991119E1,4.889598525E0,7.677334761E-1,2.065986717E0,2.816727905E2,1.115733159E1,7.112039850E0
1.293010118E2,5.238991581E1,4.889561902E0,6.100429436E-1,2.169255128E0,2.823750305E2,1.131176275E1,6.604728657E0
1.303009989E2,5.238992308E1,4.889507726E0,3.297087308E-1,2.717831366E0,2.823750305E2,1.145847229E1,6.467203064E0
1.313009831E2,5.238992954E1,4.889480060E0,5.388095472E-1,2.077187125E0,2.823750305E2,1.159784645E1,7.020686895E0
1.323009684E2,5.238993277E1,4.889435525E0,6.546294503E-1,2.114616618E0,2.823750305E2,1.173025181E1,7.022066337E0
1.333009531E2,5.238993848E1,4.889393412E0,8.248306653E-1,2.319814222E0,2.823750305E2,1.185603694E1,6.931105319E0
1.343009380E2,5.238994327E1,4.889357272E0,7.994248439E-1,1.923401217E0,2.823750305E2,1.197553289E1,6.971523491E0
1.353009228E2,5.238994958E1,4.889310298E0,4.903661702E-1,2.629908978E0,2.823750305E2,1.208905382E1,7.466861573E0
1.363009058E2,5.238995520E1,4.889279908E0,-1.396856997E-1,2.104874356E0,2.823750305E2,1.219689885E1,7.972888848E0
1.373008891E2,5.238995978E1,4.889235404E0,-2.595209982E-2,2.062433934E0,2.823750305E2,1.229935160E1,8.216250991E0
1.383008721E2,5.238996628E1,4.889192660E0,-2.103741420E-1,2.320200929E0,2.823750305E2,1.239668169E1,8.337446410E0
1.393008546E2,5.238997043E1,4.889154946E0,-1.556250528E-1,1.991473894E0,2.823750305E2,1.248914532E1,8.881292634E0
1.403008370E2,5.238997994E1,4.889110768E0,-3.363145469E-1,2.561423145E0,2.823750305E2,1.257698563E1,9.276964198E0
1.413008200E2,5.238998686E1,4.889079037E0,-7.222574512E-1,2.005580068E0,2.820369263E2,1.266043413E1,9.726600644E0
1.423008020E2,5.238999555E1,4.889034393E0,-1.002291584E0,2.394307086E0,2.820369263E2,1.273971010E1,9.976950975E0
1.433007843E2,5.238999985E1,4.889001460E0,-1.318281588E0,2.162342382E0,2.820369263E2,1.281502227E1,1.050210999E1
1.443007663E2,5.239000472E1,4.888964129E0,-1.816039489E0,1.976465365E0,2.820369263E2,1.288656889E1,1.037013625E1
1.453007479E2,5.239001039E1,4.888920796E0,-2.112836835E0,2.437440891E0,2.814463501E2,1.295453807E1,9.889416258E0
1.463007294E2,5.239001393E1,4.888892232E0,-2.326854627E0,1.947455372E0,2.814463501E2,1.301910899E1,1.035260125E1
