"Time (s)","X (hPa)"
3.411126229E2,1.016358871E3
3.421733989E2,1.016358871E3
3.432342059E2,1.016355896E3
3.442950389E2,1.016350708E3
3.453558569E2,1.016346893E3
3.464167079E2,1.016338959E3
3.474775329E2,1.016330261E3
3.485384499E2,1.016324768E3
3.495992749E2,1.016323318E3
3.506601069E2,1.016323318E3
3.517210059E2,1.016323318E3
3.527818439E2,1.016322708E3
3.538427069E2,1.016306686E3
3.549035389E2,1.016276779E3
3.559643909E2,1.016242294E3
3.570252939E2,1.016202011E3
3.580861199E2,1.016162643E3
3.591469649E2,1.016125870E3
3.602078449E2,1.016086655E3
3.612686329E2,1.016042709E3
3.623294629E2,1.015997620E3
3.633903399E2,1.015948792E3
3.644511919E2,1.015890503E3
3.655120549E2,1.015839310E3
3.665729039E2,1.015794144E3
3.676337429E2,1.015754318E3
3.686945489E2,1.015700989E3
3.697553799E2,1.015641479E3
3.708161979E2,1.015590057E3
3.718770429E2,1.015538483E3
3.729378909E2,1.015490494E3
3.739987759E2,1.015456772E3
3.750596749E2,1.015442047E3
3.761205949E2,1.015429840E3
3.771815259E2,1.015409241E3
3.782423959E2,1.015386963E3
3.793032459E2,1.015367966E3
3.803640799E2,1.015353012E3
3.814249209E2,1.015340576E3
3.824857449E2,1.015316467E3
3.835466109E2,1.015284195E3
3.846074489E2,1.015257950E3
3.856683419E2,1.015228424E3
3.867292599E2,1.015192642E3
3.877901359E2,1.015192642E3
3.888509399E2,1.015200043E3
3.899118159E2,1.015200043E3
3.909726469E2,1.015200043E3
3.920334249E2,1.015202942E3
3.930942379E2,1.015210724E3
3.941550489E2,1.015215607E3
3.952158799E2,1.015233231E3
3.962767229E2,1.015262756E3
3.973376029E2,1.015272217E3
3.983985169E2,1.015272217E3
3.994594019E2,1.015253525E3
4.005202659E2,1.015239563E3
4.015811299E2,1.015226517E3
4.026419699E2,1.015225449E3
4.037028709E2,1.015225449E3
4.047637609E2,1.015231781E3
4.058246119E2,1.015245209E3
4.068854329E2,1.015280685E3
4.079462869E2,1.015320892E3
4.090071389E2,1.015363846E3
4.100680399E2,1.015399551E3
4.111288839E2,1.015427399E3
4.121897189E2,1.015427399E3
4.132504929E2,1.015412598E3
4.143112949E2,1.015396194E3
4.153720919E2,1.015389709E3
4.164328889E2,1.015374069E3
4.174937499E2,1.015350266E3
4.185546429E2,1.015335846E3
4.196155469E2,1.015317841E3
4.206764049E2,1.015277863E3
4.217373379E2,1.015257874E3
4.227983129E2,1.015257874E3
4.238592389E2,1.015273743E3
4.249201859E2,1.015313950E3
4.259810879E2,1.015374069E3
4.270419229E2,1.015434952E3
4.281027649E2,1.015482712E3
4.291635879E2,1.015505829E3
4.302244389E2,1.015512466E3
4.312852739E2,1.015512466E3
4.323461249E2,1.015512009E3
4.334069679E2,1.015508347E3
4.344678399E2,1.015504150E3
4.355288249E2,1.015497894E3
4.365897959E2,1.015488205E3
4.376507439E2,1.015471802E3
4.387116499E2,1.015450363E3
4.397725489E2,1.015437775E3
4.408334699E2,1.015419617E3
4.418943849E2,1.015403366E3
4.429552559E2,1.015390167E3
4.440161319E2,1.015388794E3
